watermark,attack_label,samples,detection_rate,mean_psnr,mean_ssim,mean_dhash_distance,mean_phash_distance
lsb,none,5,1.0,90.05067718953163,0.9999997275665704,0.0,0.0
lsb,jpeg:quality=90,5,0.0,40.75042671900273,0.9420393108871888,0.2,0.4
lsb,jpeg:quality=70,5,0.0,35.89565530863706,0.9079848546933965,0.0,1.2
lsb,jpeg:quality=50,5,0.0,34.163620951650394,0.8815615090794932,0.6,0.8
lsb,jpeg:quality=30,5,0.0,32.08115082621007,0.8437727909969762,0.0,1.2
lsb,resize:scale=0.75,5,0.0,43.62538243326131,0.9627547414988653,0.0,0.4
lsb,resize:scale=0.5,5,0.0,39.857684062000885,0.9114465836389641,0.2,1.2
lsb,resize:scale=0.25,5,0.0,35.91175323780192,0.8310439141317563,0.0,0.8
lsb,crop:crop_ratio=0.05,5,0.0,14.86357801086972,0.5479407628614991,7.8,13.2
lsb,crop:crop_ratio=0.1,5,0.0,12.352415649569021,0.4363070628011769,18.4,19.6
lsb,crop:crop_ratio=0.2,5,0.0,10.939631397809853,0.4008205935607526,33.6,32.8
lsb,rotate:angle=1,5,0.0,21.215051305938285,0.7363245164328492,2.2,7.2
lsb,rotate:angle=5,5,0.0,14.700443169177044,0.5923847432175584,8.8,16.4
lsb,rotate:angle=15,5,0.0,10.968815080794899,0.41038741454726246,20.8,25.6
lsb,"noise:sigma=2,seed=42",5,0.0,42.009928968397475,0.9688997961530982,0.0,1.6
lsb,"noise:sigma=5,seed=42",5,0.0,34.12724622940831,0.8470293437929071,0.4,2.0
lsb,"noise:sigma=10,seed=42",5,0.0,28.125335364626835,0.6270247352036543,0.4,3.2
lsb,brightness:factor=0.7,5,0.0,16.07917380273871,0.9090334185321254,1.2,1.6
lsb,brightness:factor=1.1,5,0.0,26.00017662866175,0.9922334478582071,0.8,1.6
lsb,brightness:factor=1.3,5,0.0,17.591220564962274,0.9347575066563909,0.6,1.2
dct,none,5,1.0,39.63348614377507,0.9455659930619437,0.0,1.2
dct,jpeg:quality=90,5,1.0,35.49436317989904,0.8959461686832965,0.0,1.6
dct,jpeg:quality=70,5,1.0,32.89931113425054,0.8530887664298312,0.4,1.6
dct,jpeg:quality=50,5,1.0,32.31598890095783,0.8411451930914435,0.2,1.2
dct,jpeg:quality=30,5,1.0,29.819580366342063,0.7584307018468671,0.8,2.4
dct,resize:scale=0.75,5,1.0,35.61028273147233,0.9180583975885108,0.0,1.6
dct,resize:scale=0.5,5,1.0,34.532298550212055,0.8870043035873947,0.0,2.0
dct,resize:scale=0.25,5,0.0,33.885027886075314,0.8305136537164908,0.0,1.6
dct,crop:crop_ratio=0.05,5,0.0,14.837717590012398,0.5071781540973714,7.8,14.0
dct,crop:crop_ratio=0.1,5,0.0,12.343071127804198,0.4014900388621487,19.0,20.0
dct,crop:crop_ratio=0.2,5,0.0,10.938966983091637,0.36675940007645746,33.6,33.2
dct,rotate:angle=1,5,0.0,21.064783793015845,0.682245776352209,2.2,6.8
dct,rotate:angle=5,5,0.0,14.676253696763464,0.5483682742294458,8.8,16.4
dct,rotate:angle=15,5,0.0,10.960780558497849,0.3801869150805405,21.0,25.2
dct,"noise:sigma=2,seed=42",5,1.0,37.30382937100155,0.9193234230662911,0.0,1.6
dct,"noise:sigma=5,seed=42",5,1.0,32.810455001010354,0.8138355692325199,0.4,2.4
dct,"noise:sigma=10,seed=42",5,1.0,27.74194358082795,0.6132065366926437,0.6,3.2
dct,brightness:factor=0.7,5,1.0,15.888093822898103,0.8753221887416134,1.2,2.0
dct,brightness:factor=1.1,5,1.0,26.649370221455534,0.9317358659056595,0.6,2.0
dct,brightness:factor=1.3,5,0.8,17.87592301246729,0.8870495163361569,0.6,2.4
